3fdc757ea58cdc13457f5a66acacca26871e1759 master~2,"Fix argtopk split_every bug (#3810)

",1532530174,data split
3dddd1148d1050ea7eca16a9c6dd2bc187adb02a master~3,"Better error message on import when missing common dependencies (#3771)

",1532460074,
91ad15f1c6f755766d88cf27c56c792ee4e40c94 tags/0.18.2~5,"Handle missing `matmul` on Python 3.4 (#3791)

As `matmul` was added in Python 3.5 and we still support Python 3.4, we
can't get away with just adding this on Python 3 only as it will fail on
Python 3.4. To fix this, simply try to add `matmul` support everywhere
and skip it if `matmul` is not an operator.",1532126512,
358b9e8b30e737a5a02101e6f34c9242ee3d01db tags/0.18.2~8,"Ensure to_zarr with return_stored True returns a Dask Array (#3786)

* Use Dask Array `store` method in `to_zarr`

Normally `store` is designed for storing multiple arrays. So things like
`return_stored` return a `tuple` or Dask Arrays. However the `to_zarr`
use case involves storing a single Dask Array. Thus having
`return_stored` return a singleton tuple with a Dask Array is a little
unnecessary. This fixes that issue by switching to the Dask Array
`store` method, which returns a single Dask Array without a tuple when
`return_stored` is `True`.

* Test `to_zarr`'s `return_stored` behavior

Make sure that `to_zarr` returns a Dask Array and that contains the same
data as the Dask Array that was stored.
",1532086325,data structure
e214ea7a4fed9f2aa383984eba167b13f3fdaf1d tags/0.18.2~15,"Raise error when replace=False in da.choice (#3765)

* Raise error when replace=False in da.choice

* Expands check to exclude single-partition arrays

* Add test for replace=False for single-partition
",1531666282,data partition
16957a92d9c5f2a7fce2a494b0c9c9ec11a13652 tags/0.18.2~16,"Skip test if import fails. (#3768)

",1531622105,
1a9c1491299d0339edc97e9a56850e865c1512b4 tags/0.18.2~28,"Fix dtype-related issues of arange (#3722)

* arange dtype tweaks
* assert_raises -> pytest.raises
",1530989070,
c2fc8175c94b3a241b54356117dbc037908d6fe9 tags/0.18.2~34,"Avoid importing skimage on AttributeError (#3723)

When running Python in optimized mode it strips docstrings.
This causes and error in Pillow:

    dask/array/image.py:7: in <module>
	from skimage.io import imread as sk_imread
    ../../../miniconda/envs/test-environment/lib/python2.7/site-packages/skimage/io/__init__.py:7: in <module>
	from .manage_plugins import *
    ../../../miniconda/envs/test-environment/lib/python2.7/site-packages/skimage/io/manage_plugins.py:28: in <module>
	from .collection import imread_collection_wrapper
    ../../../miniconda/envs/test-environment/lib/python2.7/site-packages/skimage/io/collection.py:12: in <module>
	from PIL import Image
    ../../../miniconda/envs/test-environment/lib/python2.7/site-packages/PIL/__init__.py:27: in <module>
	__doc__ = __doc__.format(__version__)  # include version in docstring
    E   AttributeError: 'NoneType' object has no attribute 'format'

We now gracefully avoid this import",1530808049,io
cb3c51566cfdd7ee2fbb9b96aef9c9417240e0ee tags/0.18.2~40,"Add block_info keyword to map_blocks functions (#3686)

Fixes https://github.com/dask/dask/issues/3683

Your block function get information about where it is in the array by
accepting a special ``block_info`` keyword argument.

```python
>>> def func(block, block_info=None):
...     pass
```

This will receive the following information:

```python
>>> block_info
{0: {'shape': (1000,),
     'num-chunks': (10,),
     'chunk-location': (4,),
     'array-location': [(40, 50)]}}
```

For each argument and keyword arguments that are dask arrays (the positions
of which are the first index), you will receive the shape of the full
array, the number of chunks of the full array in each dimension, the chunk
location (for example the fourth chunk over in the first dimension), and
the array location (for example the slice corresponding to ``40:50``).",1530533861,job
fc71015ecf82e8416f6598377ab5d00e83a04dfb tags/0.18.2~41," fixed typo in tsqr documentation and improved clarity (#3698)

",1530533821,
105649e2fdb36981529c9f267630e48ed8e88ff2 tags/0.18.2~53,"Fix extra progressbar (#3669)

* Test case for triggering extra progress bar with Array.compute().

https://github.com/dask/dask/issues/3668

* Revert one line from 24fda1faf0da80a3d839d917372aeb7cd421e59c to fix a duplicate progress bar problem.

Closes #3668.
",1529958148,
